Gene,LDC.Phenotype,Fitness_Score_LDC,Description,Gene.symbol,P.Value,FDR,log2(_rpaA/WT).Microarray,*Direct_target_of_RpaA?,***Essential_in_CLC
Synpcc7942_1622,Negligable/minor,-0.282,Probable proteinase,N/A,1.81E-06,1.42E-05,0.075616876,Yes,non-essential
Synpcc7942_1623,ND (below stat. threshold of conf.),-0.069,Uncharacterized protein,N/A,4.69E-01,6.13E-01,0.066435311,No,non-essential
Synpcc7942_1624,Not analyzed,,riboflavin synthase subunit alpha,"ribC, ribE",,,0.178845231,No,essential
Synpcc7942_1625,ND (below stat. threshold of conf.),-0.063,Probable glycosyltransferase,N/A,5.75E-01,7.03E-01,-0.012155075,No,non-essential
Synpcc7942_1626,ND (below stat. threshold of conf.),-0.012,Uncharacterized protein,N/A,9.00E-01,9.38E-01,0.147558822,No,non-essential
Synpcc7942_1627,ND (below stat. threshold of conf.),-0.165,Uncharacterized protein,N/A,3.30E-02,8.62E-02,0.21245752,No,non-essential
Synpcc7942_1628,ND (below stat. threshold of conf.),0.680,Uncharacterized protein,N/A,2.19E-02,6.25E-02,0.368187544,No,beneficial
Synpcc7942_1629,ND (below stat. threshold of conf.),-0.246,Uncharacterized protein,N/A,2.02E-02,5.90E-02,0.242456888,No,non-essential
Synpcc7942_1630,ND (below stat. threshold of conf.),-0.070,Cytochrome c6 (Cytochrome c-553) (Cytochrome c553) (Soluble cytochrome f),N/A,5.86E-01,7.11E-01,0.199038476,No,non-essential
Synpcc7942_1631,ND (below stat. threshold of conf.),-0.125,TPR repeat,N/A,1.45E-01,2.70E-01,0.065751167,No,non-essential
Synpcc7942_1632,ND (below stat. threshold of conf.),-0.158,Uncharacterized protein,N/A,4.01E-01,5.54E-01,0.29716833,No,non-essential
Synpcc7942_1633,ND (below stat. threshold of conf.),0.010,Uncharacterized protein,N/A,9.61E-01,9.76E-01,-0.206222182,No,non-essential
Synpcc7942_1634,ND (below stat. threshold of conf.),0.012,Uncharacterized protein,N/A,9.66E-01,9.78E-01,0.100413372,No,non-essential
Synpcc7942_1635,ND (below stat. threshold of conf.),0.250,Probable porin major outer membrane protein,N/A,1.67E-02,5.00E-02,0.329747173,No,non-essential
Synpcc7942_1636,ND (below stat. threshold of conf.),-0.154,4a-hydroxytetrahydrobiopterin dehydratase (EC 4.2.1.96),N/A,2.73E-01,4.19E-01,-0.146786635,No,non-essential
Synpcc7942_1637,Not analyzed,,photosystem II D2 protein (photosystem q(a) protein),"psbDII, psbD, psbD2",,,0.195065535,No,not_analyzed
Synpcc7942_1638,ND (below stat. threshold of conf.),-0.211,UPF0367 protein Synpcc7942_1638,N/A,1.53E-01,2.81E-01,-0.243960393,No,non-essential
Synpcc7942_1639,Not analyzed,,ATPase,N/A,,,0.008977152,No,essential
Synpcc7942_1640,ND (below stat. threshold of conf.),-0.247,Uncharacterized protein,N/A,3.80E-02,9.57E-02,0.240075619,No,non-essential
Synpcc7942_1641,ND (below stat. threshold of conf.),-0.184,Uncharacterized protein,N/A,5.30E-02,1.26E-01,0.116300701,No,non-essential
Synpcc7942_1642,ND (below stat. threshold of conf.),-0.160,Uncharacterized protein,N/A,6.72E-02,1.50E-01,-0.030556768,No,non-essential
Synpcc7942_1643,ND (below stat. threshold of conf.),-0.045,Diguanylate cyclase with GAF sensor,N/A,5.89E-01,7.14E-01,-0.182196514,No,non-essential
Synpcc7942_1644,ND (below stat. threshold of conf.),0.110,Uncharacterized protein,N/A,2.02E-01,3.44E-01,-0.245443341,No,non-essential
Synpcc7942_1645,ND (below stat. threshold of conf.),-0.077,Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III),N/A,4.00E-01,5.53E-01,-0.023693598,No,non-essential
Synpcc7942_1646,ND (below stat. threshold of conf.),-0.010,Uncharacterized protein,N/A,9.35E-01,9.58E-01,-0.949367874,Yes,non-essential
Synpcc7942_1647,ND (below stat. threshold of conf.),-0.102,Uncharacterized protein,N/A,2.01E-01,3.42E-01,0.007736393,Yes,non-essential
Synpcc7942_1648,ND (below stat. threshold of conf.),-0.097,"Putative ferric uptake regulator, FUR family",N/A,6.05E-01,7.28E-01,0.010496376,No,non-essential
Synpcc7942_1649,ND (below stat. threshold of conf.),-0.011,Rubrerythrin,N/A,9.03E-01,9.39E-01,0.626661666,No,non-essential
Synpcc7942_1650,Increase,1.077,Phosphorylase kinase alpha subunit,N/A,1.10E-74,2.58E-72,0.196096569,No,non-essential
Synpcc7942_1651,Not analyzed,,N-acetylmannosaminyltransferase,rffM,,,0.299143694,No,essential
Synpcc7942_1652,ND (below stat. threshold of conf.),-0.169,Elongator protein 3/MiaB/NifB,N/A,9.63E-03,3.18E-02,0.056144849,No,non-essential
Synpcc7942_1653,ND (below stat. threshold of conf.),0.008,Glycerol dehydrogenase,N/A,9.14E-01,9.46E-01,-0.778980785,No,non-essential
Synpcc7942_1654,ND (below stat. threshold of conf.),0.071,Uncharacterized protein,N/A,5.73E-01,7.02E-01,-0.336710244,No,non-essential
Synpcc7942_1655,ND (below stat. threshold of conf.),-0.095,Uncharacterized protein,N/A,7.54E-01,8.36E-01,-0.632195318,No,non-essential
Synpcc7942_1656,ND (below stat. threshold of conf.),-0.075,Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase),N/A,1.86E-01,3.23E-01,-0.94219615,Yes,non-essential
Synpcc7942_1657,ND (below stat. threshold of conf.),-0.546,Uncharacterized protein,N/A,2.39E-02,6.71E-02,-0.322164182,No,non-essential
Synpcc7942_1658,ND (below stat. threshold of conf.),0.073,Uncharacterized protein,N/A,4.93E-01,6.32E-01,0.539238636,No,non-essential
Synpcc7942_1659,ND (below stat. threshold of conf.),-0.210,Nitroreductase,N/A,4.53E-02,1.09E-01,0.068356149,No,non-essential
Synpcc7942_1660,ND (below stat. threshold of conf.),-0.334,Potassium channel protein,N/A,8.29E-03,2.81E-02,0.364593536,No,non-essential
Synpcc7942_1661,ND (below stat. threshold of conf.),0.154,Uncharacterized protein,N/A,3.30E-01,4.82E-01,-4.528421289,Yes,non-essential
Synpcc7942_1662,Not analyzed,,cysteinyl-tRNA synthetase,cysS,,,0.088589365,No,essential
Synpcc7942_1663,ND (below stat. threshold of conf.),-0.272,Uncharacterized protein,N/A,5.84E-02,1.36E-01,0.178887819,No,non-essential
Synpcc7942_1664,ND (below stat. threshold of conf.),-0.062,Uncharacterized protein,N/A,6.28E-01,7.41E-01,0.386534992,No,non-essential
Synpcc7942_1665,ND (below stat. threshold of conf.),-0.200,Probable oxidoreductase,N/A,1.97E-02,5.82E-02,0.311768421,No,non-essential
Synpcc7942_1666,ND (below stat. threshold of conf.),0.076,Uncharacterized protein,N/A,2.05E-01,3.46E-01,-0.002447583,No,non-essential
Synpcc7942_1667,Not analyzed,,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,murD,,,0.103856162,No,essential
Synpcc7942_1668,ND (below stat. threshold of conf.),-0.130,Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain),N/A,2.18E-02,6.22E-02,-0.644296672,No,non-essential
Synpcc7942_1669,ND (below stat. threshold of conf.),-0.136,Potassium-transporting ATPase ATP-binding subunit (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain),N/A,2.66E-02,7.25E-02,-0.931194466,No,non-essential
Synpcc7942_1670,ND (below stat. threshold of conf.),-0.221,Uncharacterized protein,N/A,1.58E-01,2.86E-01,-0.41992868,No,non-essential
Synpcc7942_1671,ND (below stat. threshold of conf.),-0.092,Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain),N/A,4.43E-01,5.92E-01,-0.270358535,No,non-essential
Synpcc7942_1672,ND (below stat. threshold of conf.),0.077,VanY D-Ala-D-Ala carboxypeptidase. Metallo peptidase. MEROPS family M15B,N/A,4.98E-01,6.36E-01,-0.160321312,No,non-essential
Synpcc7942_1673,Not analyzed,,hypothetical protein,N/A,,,0.42231894,No,essential
Synpcc7942_1674,ND (below stat. threshold of conf.),0.163,Uncharacterized protein,N/A,4.91E-01,6.30E-01,0.450201423,No,non-essential
Synpcc7942_1675,ND (below stat. threshold of conf.),-0.151,Uncharacterized protein,N/A,2.04E-01,3.45E-01,-0.013781212,No,non-essential
Synpcc7942_1676,ND (below stat. threshold of conf.),-0.134,Uncharacterized protein,N/A,1.12E-01,2.23E-01,0.128520886,No,non-essential
Synpcc7942_1677,ND (below stat. threshold of conf.),0.120,Uncharacterized protein,N/A,8.82E-02,1.84E-01,0.094474727,No,non-essential
Synpcc7942_1678,ND (below stat. threshold of conf.),-0.146,Uncharacterized protein,N/A,2.49E-01,3.94E-01,0.029792268,No,non-essential
Synpcc7942_1679,ND (below stat. threshold of conf.),0.004,Photosystem II reaction center Psb28 protein (Photosystem II 13 kDa protein) (Photosystem II reaction center W protein),N/A,9.82E-01,9.88E-01,0.108369925,No,non-essential
Synpcc7942_1680,ND (below stat. threshold of conf.),0.350,Sulfate/thiosulfate import ATP-binding protein CysA (EC 3.6.3.25) (Sulfate-transporting ATPase),N/A,9.96E-03,3.25E-02,0.067879831,No,beneficial
Synpcc7942_1681,Moderate increase,0.731,Sulfate-binding protein,N/A,2.16E-08,2.22E-07,0.06242824,No,non-essential
Synpcc7942_1682,Moderate increase,0.845,Sulfate transport system permease protein CysT,N/A,6.03E-15,1.06E-13,0.332380011,No,beneficial
Synpcc7942_1683,ND (below stat. threshold of conf.),-0.366,Uncharacterized protein Synpcc7942_1683 (ORF 81),N/A,2.31E-02,6.54E-02,0.301745993,No,non-essential
Synpcc7942_1684,ND (below stat. threshold of conf.),-0.163,Regulatory protein CysR,N/A,5.12E-02,1.22E-01,1.612067505,No,non-essential
Synpcc7942_1685,Moderate increase,0.632,Sulfate transport system permease protein CysW,N/A,3.42E-07,3.05E-06,0.549150866,No,beneficial
Synpcc7942_1686,ND (below stat. threshold of conf.),-0.166,Thiosulphate-binding protein,N/A,1.12E-01,2.24E-01,0.134549216,No,non-essential
Synpcc7942_1687,ND (below stat. threshold of conf.),-0.026,"Sulfate ABC transporter, permease protein CysT",N/A,6.82E-01,7.78E-01,0.071126191,No,non-essential
Synpcc7942_1688,ND (below stat. threshold of conf.),-0.127,"Sulfate ABC transporter, permease protein CysW",N/A,1.19E-01,2.36E-01,0.04699283,No,non-essential
Synpcc7942_1689,ND (below stat. threshold of conf.),-0.065,Putative thiosulfate sulfurtransferase (EC 2.8.1.1) (Rhodanese-like protein),N/A,4.23E-01,5.76E-01,0.595941873,No,non-essential
Synpcc7942_1690,ND (below stat. threshold of conf.),-0.086,Uncharacterized protein,N/A,5.27E-01,6.64E-01,0.644712918,No,non-essential
Synpcc7942_1691,ND (below stat. threshold of conf.),-0.122,Uncharacterized protein,N/A,4.39E-02,1.07E-01,0.124608165,No,non-essential
Synpcc7942_1692,ND (below stat. threshold of conf.),-0.143,Mrr restriction system protein,N/A,3.14E-01,4.67E-01,-0.084633744,No,non-essential
Synpcc7942_1693,ND (below stat. threshold of conf.),-0.077,Response regulator receiver domain protein (CheY-like),N/A,5.56E-01,6.88E-01,0.024593373,No,non-essential
Synpcc7942_1694,ND (below stat. threshold of conf.),-0.194,DNA topoisomerase (ATP-hydrolyzing) (EC 5.99.1.3),N/A,5.26E-01,6.63E-01,0.085608554,No,ambiguous
Synpcc7942_1695,ND (below stat. threshold of conf.),-0.158,Uncharacterized protein,N/A,3.30E-01,4.82E-01,0.445655285,No,non-essential
Synpcc7942_1696,ND (below stat. threshold of conf.),-0.137,Uncharacterized protein,N/A,1.27E-01,2.45E-01,-0.287312544,No,non-essential
Synpcc7942_1697,ND (below stat. threshold of conf.),-0.099,"Zn-finger, CDGSH type",N/A,3.48E-01,5.02E-01,-0.022053201,No,non-essential
Synpcc7942_1698,ND (below stat. threshold of conf.),-0.201,Putative transcriptional regulator,N/A,1.11E-01,2.23E-01,0.02716717,No,non-essential
Synpcc7942_1699,ND (below stat. threshold of conf.),-0.119,MATE efflux family protein,N/A,3.70E-02,9.36E-02,0.206404611,No,non-essential
Synpcc7942_1700,Not analyzed,,GDP-fucose synthetase NAD dependent epimerase/dehydratase,wcaG,,,0.222258045,No,essential
Synpcc7942_1701,ND (below stat. threshold of conf.),-0.771,Uncharacterized protein,N/A,1.83E-02,5.44E-02,-0.002869468,No,ambiguous
Synpcc7942_1702,ND (below stat. threshold of conf.),-0.230,Uncharacterized protein,N/A,2.54E-01,3.99E-01,-0.051652975,No,non-essential
Synpcc7942_1703,Negligable/minor,0.426,Putative alpha-mannosidase,N/A,3.91E-08,3.90E-07,0.039333905,No,beneficial
Synpcc7942_1704,Negligable/minor,-0.328,Uncharacterized protein,N/A,7.67E-05,4.62E-04,0.257787136,No,non-essential
Synpcc7942_1705,Not analyzed,,photosystem II reaction center I protein PsbI,psbI,,,-0.37289945,No,beneficial
Synpcc7942_1706,Not analyzed,,hypothetical protein,N/A,,,-0.023656818,No,essential
Synpcc7942_1707,ND (below stat. threshold of conf.),-0.065,Uncharacterized protein,N/A,6.08E-01,7.29E-01,0.524130685,No,non-essential
Synpcc7942_1708,ND (below stat. threshold of conf.),-0.129,Oligopeptidase A. Metallo peptidase. MEROPS family M03A (EC 3.4.24.70),N/A,3.05E-02,8.16E-02,0.003942231,No,non-essential
Synpcc7942_1709,Not analyzed,,Small GTP-binding protein domain,N/A,,,-0.026158605,No,essential
Synpcc7942_1710,ND (below stat. threshold of conf.),0.371,DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega),N/A,7.62E-02,1.64E-01,0.212454507,No,beneficial
Synpcc7942_1711,ND (below stat. threshold of conf.),-0.091,Uncharacterized protein,N/A,5.07E-01,6.45E-01,0.167802703,No,non-essential
Synpcc7942_1712,Not analyzed,,hypothetical protein,N/A,,,0.186594721,No,beneficial
Synpcc7942_1713,ND (below stat. threshold of conf.),-0.187,Probable hydrocarbon oxygenase MocD,N/A,3.12E-02,8.25E-02,1.355995873,No,non-essential
Synpcc7942_1714,ND (below stat. threshold of conf.),-0.063,Homoserine O-acetyltransferase (EC 2.3.1.31),N/A,4.49E-01,5.98E-01,0.196797517,No,non-essential
Synpcc7942_1715,Not analyzed,,uracil phosphoribosyltransferase,"upp, uraP",,,0.091581923,No,essential
Synpcc7942_1716,ND (below stat. threshold of conf.),-0.080,Diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(S),N/A,2.17E-01,3.59E-01,-0.359948618,No,non-essential
Synpcc7942_1717,ND (below stat. threshold of conf.),0.101,Glycolate oxidase iron-sulfur subunit,N/A,2.19E-01,3.61E-01,0.025978996,No,non-essential
Synpcc7942_1718,ND (below stat. threshold of conf.),-0.021,Glycolate oxidase subunit GlcE,N/A,8.14E-01,8.82E-01,0.199372303,No,non-essential
Synpcc7942_1719,Not analyzed,,isocitrate dehydrogenase,icd,,,0.769761348,No,essential
Synpcc7942_1720,Negligable/minor,0.387,Uncharacterized protein,N/A,1.01E-03,4.76E-03,-0.027830784,No,non-essential
Synpcc7942_1721,ND (below stat. threshold of conf.),-0.255,PBS lyase HEAT-like repeat,N/A,4.18E-02,1.03E-01,0.33797861,No,non-essential
Synpcc7942_1722,ND (below stat. threshold of conf.),-0.104,Thiosulphate-binding protein,N/A,1.02E-01,2.07E-01,-0.046668113,No,non-essential
Synpcc7942_1723,ND (below stat. threshold of conf.),-0.024,Carotene isomerase,N/A,6.69E-01,7.70E-01,0.05157713,No,non-essential
Synpcc7942_1724,ND (below stat. threshold of conf.),-0.282,Uncharacterized protein,N/A,2.49E-01,3.94E-01,-0.830716461,No,non-essential
Synpcc7942_1725,ND (below stat. threshold of conf.),-0.089,"Transcriptional regulator, GntR family",N/A,2.68E-01,4.15E-01,-0.136552561,No,non-essential
Synpcc7942_1726,Not analyzed,,lipoprotein signal peptidase,lspA,,,0.130852213,No,essential
Synpcc7942_1727,Not analyzed,,BioY protein,N/A,,,-0.265723229,No,essential
Synpcc7942_1728,Negligable/minor,-0.296,Uncharacterized protein,N/A,2.18E-03,9.17E-03,-0.053162192,No,non-essential
Synpcc7942_1729,Negligable/minor,-0.247,Potassium-transporting ATPase D chain,N/A,2.54E-04,1.38E-03,-0.271868481,No,non-essential
Synpcc7942_1730,ND (below stat. threshold of conf.),-0.151,Uncharacterized protein,N/A,6.59E-02,1.47E-01,-0.029990993,No,non-essential
Synpcc7942_1731,ND (below stat. threshold of conf.),-0.109,Uncharacterized protein,N/A,3.16E-01,4.70E-01,-0.027795788,No,non-essential
Synpcc7942_1732,ND (below stat. threshold of conf.),-0.280,Uncharacterized protein,N/A,6.42E-02,1.45E-01,0.075054574,No,non-essential
Synpcc7942_1733,Moderate increase,0.663,Transcriptional regulator,N/A,2.40E-15,4.68E-14,0.252708457,No,non-essential
Synpcc7942_1734,Not analyzed,,ferredoxin-thioredoxin reductase catalytic chain,ftrC,,,0.235175104,No,essential
Synpcc7942_1735,Not analyzed,,cysteine desulfurase activator complex subunit SufB,sufB,,,0.061988019,No,essential
Synpcc7942_1736,Not analyzed,,Iron-regulated ABC transporter ATPase subunit SufC,"sufC, ycf16",,,-0.006114977,No,essential
Synpcc7942_1737,Not analyzed,,Iron-regulated ABC transporter permease protein SufD,sufD,,,0.184323828,No,essential
Synpcc7942_1738,Not analyzed,,cysteine desulfurase,"sufS, nifS",,,-0.048607715,No,essential
Synpcc7942_1739,Not analyzed,,"transcriptional regulator, MerR family",merR,,,0.081317795,No,non-essential
Synpcc7942_1740,Not analyzed,,UDP-N-acetylmuramate dehydrogenase,murB,,,-0.025375558,Yes,essential
Synpcc7942_1741,Not analyzed,,UDP-N-acetylmuramate--L-alanine ligase,murC,,,0.002827926,Yes,essential
Synpcc7942_1116,Not analyzed,,phosphoglycerate kinase,pgk,,,0.074206298,No,essential
Synpcc7942_1743,Not analyzed,,NAD(P)H-quinone oxidoreductase subunit H,ndhH,,,0.0545974,No,essential
Synpcc7942_1744,Not analyzed,,hypothetical protein,N/A,,,0.244169442,No,essential
Synpcc7942_1745,ND (below stat. threshold of conf.),-0.041,Uncharacterized protein,N/A,7.71E-01,8.51E-01,0.092834606,Yes,non-essential
Synpcc7942_1746,Increase,1.844,RNA polymerase sigma factor SigA2,rpoD2,5.43E-20,1.47E-18,-0.211341148,Yes,non-essential
Synpcc7942_1747,ND (below stat. threshold of conf.),0.228,Uncharacterized protein,N/A,2.94E-03,1.19E-02,0.045436666,No,non-essential
Synpcc7942_1748,ND (below stat. threshold of conf.),-0.040,Uncharacterized protein,N/A,6.35E-01,7.46E-01,-0.160171428,No,non-essential
Synpcc7942_1749,ND (below stat. threshold of conf.),-0.068,Ferredoxin,N/A,6.56E-01,7.61E-01,-0.066219354,No,non-essential
Synpcc7942_1750,ND (below stat. threshold of conf.),0.048,Uncharacterized protein,N/A,7.47E-01,8.30E-01,-0.236714042,No,non-essential
Synpcc7942_1751,ND (below stat. threshold of conf.),-0.138,Uncharacterized protein,N/A,6.11E-01,7.32E-01,-0.345480726,No,non-essential
Synpcc7942_1752,ND (below stat. threshold of conf.),0.606,Armadillo:PBS lyase HEAT-like repeat,N/A,8.95E-02,1.87E-01,0.204778148,No,beneficial
Synpcc7942_1753,ND (below stat. threshold of conf.),0.011,Uncharacterized protein,N/A,9.15E-01,9.46E-01,-0.063641233,Yes,non-essential
Synpcc7942_1754,ND (below stat. threshold of conf.),0.077,Uncharacterized protein,N/A,6.30E-01,7.42E-01,0.170038237,Yes,non-essential
Synpcc7942_1755,Negligable/minor,-0.199,Uncharacterized protein,N/A,7.26E-04,3.62E-03,-0.323519591,Yes,non-essential
Synpcc7942_1756,Moderate decrease,-0.582,Uncharacterized protein,N/A,8.61E-04,4.15E-03,-0.775151259,Yes,non-essential
Synpcc7942_1757,Decrease,-1.702,Uncharacterized protein,N/A,7.12E-07,6.03E-06,-3.838397484,Yes,non-essential
Synpcc7942_1758,Moderate decrease,-0.772,Probable dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase),N/A,1.17E-12,1.81E-11,-0.214312962,No,non-essential
Synpcc7942_1759,ND (below stat. threshold of conf.),-0.591,CAB/ELIP/HLIP-related protein,N/A,2.23E-02,6.34E-02,0.351115066,No,non-essential
Synpcc7942_1760,ND (below stat. threshold of conf.),-0.202,Alanine dehydrogenase (EC 1.4.1.1),N/A,7.98E-03,2.72E-02,0.162398537,No,non-essential
Synpcc7942_1761,Not analyzed,,hypothetical protein,N/A,,,0.196884072,No,essential
Synpcc7942_1762,ND (below stat. threshold of conf.),-0.147,Uncharacterized protein,N/A,4.14E-02,1.02E-01,0.287120992,No,non-essential
Synpcc7942_1763,ND (below stat. threshold of conf.),-0.317,Inositol monophosphate family protein,N/A,4.16E-03,1.54E-02,0.270025415,No,non-essential
Synpcc7942_1764,ND (below stat. threshold of conf.),-0.131,Uncharacterized protein,N/A,3.00E-01,4.53E-01,1.138054139,No,non-essential
Synpcc7942_1765,ND (below stat. threshold of conf.),0.266,Uncharacterized protein,N/A,6.32E-02,1.44E-01,-0.007779811,No,non-essential
Synpcc7942_1766,Moderate decrease,-0.570,"Cytochrome d ubiquinol oxidase, subunit II",N/A,6.86E-05,4.19E-04,0.109347734,No,non-essential
Synpcc7942_1767,Moderate decrease,-0.810,Cytochrome oxidase d subunit I,N/A,7.34E-19,1.81E-17,0.256773982,No,non-essential
Synpcc7942_1768,Negligable/minor,0.391,Uncharacterized protein,N/A,1.09E-08,1.15E-07,-0.395866062,No,non-essential
